instance,disjunctive terms,restart termination mode,restart termination notes,final termination mode,default cut generation iterations,default and disjunctive cut generation iterations
neos-3611447-jijia,4,max number restarts,,stopped on nodes,20,20
gen-ip036,8,restart optimality,,stopped on nodes,10,10
prod2,4,corrupted cuts,,stopped on nodes,,
neos-2657525-crna,4,max number restarts,,stopped on nodes,8,10
control30-3-2-3,8,max number restarts,,stopped on nodes,14,14
misc07,4,corrupted cuts,,stopped on nodes,,
neos-3610040-iskar,4,max number restarts,,stopped on nodes,17,17
mas76,8,restart optimality,,solution,20,7
neos5,4,restart time limit,,stopped on nodes,20,20
gsvm2rl3,4,restart time limit,,stopped on nodes,20,20
22433,4,corrupted cuts,,stopped on nodes,,
aflow30a,4,max number restarts,,stopped on nodes,20,20
pigeon-08,4,restart time limit,,stopped on nodes,10,8
opt1217,4,restart time limit,,stopped on nodes,20,20
prod1,4,restart time limit,,stopped on nodes,20,20
supportcase16,8,corrupted cuts,,stopped on nodes,,
gr4x6,8,max number restarts,,stopped on nodes,5,5
assign1-5-8,4,restart time limit,,stopped on nodes,11,12
mik-250-20-75-5,4,restart time limit,,stopped on nodes,20,19
23588,4,restart time limit,,stopped on nodes,18,10
ran14x18-disj-8,8,python failure,only first line should possibly not match,,,
neos-2624317-amur,4,restart time limit,,stopped on nodes,9,10
b-ball,8,max number restarts,,stopped on nodes,20,20
neos17,4,restart time limit,,stopped on nodes,10,20
mik-250-20-75-1,4,restart time limit,,stopped on nodes,19,20
markshare1,8,max number restarts,,stopped on nodes,10,10
markshare_5_0,8,max number restarts,,stopped on nodes,10,10
bppc8-02,4,restart time limit,,stopped on nodes,10,10
mik-250-20-75-4,4,max number restarts,,stopped on nodes,20,15
mik-250-20-75-3,4,max number restarts,,stopped on nodes,20,20
neos-1442119,4,max number restarts,,stopped on nodes,10,10
timtab1CUTS,4,max number restarts,,stopped on nodes,20,20
pigeon-10,4,restart time limit,,stopped on nodes,10,10
flugpl,8,max number restarts,,stopped on nodes,20,20
rout,4,restart time limit,,stopped on nodes,20,19
mik-250-20-75-2,4,restart time limit,,stopped on nodes,20,20
bppc8-09,4,restart time limit,,stopped on nodes,11,11
gen-ip016,8,max number restarts,,stopped on nodes,10,10
enlight_hard,8,max number restarts,,stopped on nodes,20,20
neos-911970,4,restart time limit,,stopped on nodes,20,20
gen-ip002,8,max number restarts,,stopped on nodes,10,10
neos-5140963-mincio,8,max number restarts,,stopped on nodes,10,10
neos-3046601-motu,8,max number restarts,,stopped on nodes,2,2
neos18,4,restart time limit,,stopped on nodes,10,10
mad,8,max number restarts,,stopped on nodes,10,10
newdano,4,restart time limit,,stopped on time,20,8
bienst2,4,restart time limit,,stopped on time,20,12
pigeon-13,4,restart time limit,,stopped on time,10,8
enlight8,8,max number restarts,,stopped on nodes,20,20
danoint,4,restart time limit,,stopped on time,10,8
supportcase20,4,restart time limit,,stopped on time,20,10
bienst1,4,restart time limit,,stopped on time,14,14
neos-3610051-istra,4,restart time limit,,stopped on time,20,19
ran12x21,8,max number restarts,,stopped on nodes,20,20
neos-3610173-itata,4,restart time limit,,stopped on time,20,15
supportcase26,8,max number restarts,,stopped on nodes,20,20
dcmulti,8,max number restarts,,stopped on nodes,12,12
noswot,8,max number restarts,,stopped on nodes,10,10
ran13x13,8,max number restarts,,stopped on nodes,20,20
graphdraw-gemcutter,8,max number restarts,,stopped on nodes,10,10
graphdraw-domain,8,max number restarts,,stopped on nodes,20,20
mas74,8,restart optimality,,solution,11,12
pk1,8,restart time limit,,stopped on nodes,10,10
p0201,8,max number restarts,,stopped on nodes,20,20
gen-ip021,8,max number restarts,,stopped on nodes,10,15
pigeon-08,8,restart time limit,,stopped on nodes,10,8
ic97_tension,8,max number restarts,,stopped on nodes,16,16
neos5,8,restart time limit,,stopped on nodes,20,20
markshare_4_0,8,max number restarts,,stopped on nodes,10,10
exp-1-500-5-5,8,max number restarts,,stopped on nodes,17,20
neos-2657525-crna,8,restart time limit,,stopped on nodes,8,10
breastcancer-regularized,8,python failure,could not convert string to float: 'Objective',,,
gen-ip054,8,max number restarts,,stopped on nodes,10,12
gsvm2rl3,8,restart time limit,,stopped on nodes,20,20
opt1217,8,restart time limit,,stopped on nodes,20,12
rlp1,8,restart time limit,,stopped on nodes,11,12
ej,8,corrupted cuts,,stopped on nodes,,
neos-1425699,8,restart optimality,,stopped on nodes,2,5
sp150x300d,8,max number restarts,,stopped on nodes,20,20
neos-3046615-murg,8,max number restarts,,stopped on nodes,12,20
neos-5192052-neckar,8,restart optimality,,stopped on nodes,5,5
22433,8,corrupted cuts,,stopped on nodes,,
mik-250-20-75-5,8,corrupted cuts,,stopped on nodes,,
23588,8,max number restarts,,stopped on nodes,18,10
neos-1430701,8,restart time limit,,stopped on nodes,10,10
glass4,8,python failure,lung,,,
neos-2652786-brda,8,restart time limit,,stopped on nodes,10,10
prod1,8,restart time limit,,stopped on nodes,20,17
rout,8,restart time limit,,stopped on nodes,20,20
gt2,8,restart time limit,,stopped on nodes,10,20
r50x360,8,restart time limit,,stopped on nodes,20,20
gen,8,max number restarts,,stopped on nodes,4,4
control30-3-2-3,16,max number restarts,,stopped on nodes,14,14
beavma,8,max number restarts,,stopped on nodes,14,15
k16x240b,8,restart optimality,,solution,20,3
nexp-50-20-1-1,8,max number restarts,,stopped on nodes,19,12
mik-250-20-75-3,8,max number restarts,,stopped on time,20,12
prod2,8,corrupted cuts,,stopped on nodes,,
supportcase16,16,restart optimality,,stopped on nodes,10,10
neos-3611447-jijia,8,max number restarts,,stopped on time,20,13
blend2,8,corrupted cuts,,stopped on nodes,,
timtab1,8,max number restarts,,stopped on nodes,20,20
gen-ip036,16,restart optimality,,stopped on nodes,10,10
gr4x6,16,max number restarts,,stopped on nodes,5,6
mik-250-20-75-1,8,max number restarts,,stopped on time,19,14
bienst2,8,restart time limit,,stopped on time,20,5
mas76,16,restart optimality,,solution,20,2
supportcase20,8,restart time limit,,stopped on time,20,6
ran14x18-disj-8,16,python failure,only first line should possibly not match,,,
neos-3610051-istra,8,max number restarts,,stopped on time,20,4
assign1-5-8,8,restart time limit,,stopped on nodes,11,20
neos-3072252-nete,8,max number restarts,,stopped on nodes,11,11
bppc8-09,8,restart time limit,,stopped on nodes,11,10
pigeon-13,8,restart time limit,,stopped on time,10,4
markshare1,16,max number restarts,,stopped on nodes,10,10
newdano,8,restart time limit,,stopped on time,20,7
misc07,8,corrupted cuts,,stopped on nodes,,
pigeon-10,8,restart time limit,,stopped on nodes,10,10
markshare_5_0,16,max number restarts,,stopped on nodes,10,10
bienst1,8,restart time limit,,stopped on time,14,5
danoint,8,restart time limit,,stopped on time,10,4
bppc8-02,8,restart time limit,,stopped on nodes,10,20
neos-3610040-iskar,8,max number restarts,,stopped on nodes,17,17
neos-1442119,8,restart time limit,,stopped on time,10,5
neos-2624317-amur,8,restart time limit,,stopped on nodes,9,10
gen-ip016,16,max number restarts,,stopped on nodes,10,10
mik-250-20-75-2,8,max number restarts,,stopped on time,20,8
neos-3610173-itata,8,max number restarts,,stopped on time,20,3
neos-911970,8,restart time limit,,stopped on time,20,12
aflow30a,8,restart time limit,,stopped on nodes,20,20
timtab1CUTS,8,restart time limit,,stopped on time,20,13
neos17,8,restart time limit,,stopped on time,10,16
b-ball,16,restart time limit,,stopped on nodes,20,20
gen-ip002,16,restart time limit,,stopped on nodes,10,10
mik-250-20-75-4,8,restart time limit,,stopped on time,20,10
neos5,16,restart time limit,,stopped on nodes,20,10
enlight_hard,16,max number restarts,,stopped on nodes,20,20
neos18,8,restart time limit,,stopped on time,10,5
mad,16,max number restarts,,stopped on nodes,10,10
flugpl,16,max number restarts,,stopped on nodes,20,16
ic97_tension,16,restart time limit,,stopped on time,16,7
neos-2652786-brda,16,restart time limit,,stopped on time,10,10
mik-250-20-75-3,16,restart time limit,,stopped on time,20,4
neos-1430701,16,restart time limit,,stopped on time,10,8
opt1217,16,restart time limit,,stopped on time,20,10
dcmulti,16,corrupted cuts,,stopped on time,,
neos-5140963-mincio,16,restart time limit,,stopped on nodes,10,18
pk1,16,restart time limit,,stopped on nodes,10,10
gsvm2rl3,16,restart time limit,,stopped on nodes,20,20
23588,16,restart time limit,,stopped on time,18,6
pigeon-08,16,restart time limit,,stopped on time,10,8
ran12x21,16,restart time limit,,stopped on time,20,18
bienst2,16,restart time limit,,stopped on time,20,3
neos-3046601-motu,16,restart time limit,,stopped on nodes,2,7
enlight8,16,max number restarts,,stopped on nodes,20,20
graphdraw-domain,16,restart time limit,,stopped on time,20,7
r50x360,16,restart time limit,,stopped on time,20,6
supportcase20,16,restart time limit,,stopped on time,20,2
supportcase26,16,max number restarts,,stopped on nodes,20,20
rlp1,16,restart time limit,,stopped on nodes,11,10
pigeon-13,16,restart time limit,,stopped on time,10,3
neos-2657525-crna,16,restart time limit,,stopped on time,8,9
prod1,16,restart time limit,,stopped on nodes,20,20
noswot,16,max number restarts,,stopped on nodes,10,10
rout,16,restart time limit,,stopped on time,20,4
misc07,16,corrupted cuts,,stopped on nodes,,
mik-250-20-75-1,16,restart time limit,,stopped on time,19,4
p0201,16,restart time limit,,stopped on nodes,20,20
mas74,16,restart optimality,,solution,11,4
gen-ip021,16,max number restarts,,stopped on nodes,10,10
mik-250-20-75-5,16,restart time limit,,stopped on time,20,6
graphdraw-gemcutter,16,restart time limit,,stopped on nodes,10,10
gen,16,restart optimality,,stopped on nodes,4,4
newdano,16,restart time limit,,stopped on time,20,3
markshare_4_0,16,corrupted cuts,,stopped on nodes,,
ran13x13,16,max number restarts,,stopped on nodes,20,20
