instance,disjunctive terms,restart,root gap closed,additional root gap closed,iterations
markshare1,4,3,0.0,0.0,3
markshare1,4,4,0.0,0.0,7
markshare1,4,5,0.0,0.0,4
markshare1,4,6,0.0,0.0,10
markshare1,4,7,0.0,0.0,10
markshare1,4,8,0.0,0.0,9
markshare1,4,9,0.0,0.0,10
markshare1,4,10,0.0,0.0,10
markshare1,4,11,0.0,0.0,10
markshare1,4,12,0.0,0.0,10
markshare1,4,13,0.0,0.0,10
markshare1,4,14,0.0,0.0,10
markshare1,4,15,0.0,0.0,10
markshare1,4,16,0.0,0.0,10
markshare1,4,17,0.0,0.0,10
markshare1,4,18,0.0,0.0,10
markshare1,4,19,0.0,0.0,10
markshare1,4,20,0.0,0.0,10
supportcase16,4,0,3.2905234091967486e-11,-16.9999999993748,1
supportcase16,4,1,3.2905234091967486e-11,0.0,1
supportcase16,4,2,3.2905234091967486e-11,0.0,2
supportcase16,4,3,3.2905234091967486e-11,0.0,1
supportcase16,4,4,3.2905234091967486e-11,0.0,2
supportcase16,4,5,3.2905234091967486e-11,0.0,1
supportcase16,4,6,3.2905234091967486e-11,0.0,2
supportcase16,4,7,3.2905234091967486e-11,0.0,1
supportcase16,4,8,3.2905234091967486e-11,0.0,2
supportcase16,4,9,3.2905234091967486e-11,0.0,1
supportcase16,4,10,3.2905234091967486e-11,0.0,2
supportcase16,4,11,3.2905234091967486e-11,0.0,1
supportcase16,4,12,3.2905234091967486e-11,0.0,2
supportcase16,4,13,3.2905234091967486e-11,0.0,1
supportcase16,4,14,3.2905234091967486e-11,0.0,2
supportcase16,4,15,3.2905234091967486e-11,0.0,1
supportcase16,4,16,3.2905234091967486e-11,0.0,2
supportcase16,4,17,3.2905234091967486e-11,0.0,1
supportcase16,4,18,3.2905234091967486e-11,0.0,2
supportcase16,4,19,3.2905234091967486e-11,0.0,1
supportcase16,4,20,3.2905234091967486e-11,0.0,2
flugpl,4,0,2.035572492843588e-14,-34.0145827280286,1
flugpl,4,1,2.035572492843588e-14,0.0,1
flugpl,4,2,2.035572492843588e-14,0.0,1
flugpl,4,3,2.035572492843588e-14,0.0,1
flugpl,4,4,2.035572492843588e-14,0.0,1
flugpl,4,5,2.035572492843588e-14,0.0,1
flugpl,4,6,2.035572492843588e-14,0.0,1
flugpl,4,7,2.035572492843588e-14,0.0,1
flugpl,4,8,2.035572492843588e-14,0.0,1
flugpl,4,9,2.035572492843588e-14,0.0,1
flugpl,4,10,2.035572492843588e-14,0.0,1
flugpl,4,11,2.035572492843588e-14,0.0,1
flugpl,4,12,2.035572492843588e-14,0.0,1
flugpl,4,13,2.035572492843588e-14,0.0,1
flugpl,4,14,2.035572492843588e-14,0.0,1
flugpl,4,15,2.035572492843588e-14,0.0,1
flugpl,4,16,2.035572492843588e-14,0.0,1
flugpl,4,17,2.035572492843588e-14,0.0,1
flugpl,4,18,2.035572492843588e-14,0.0,1
flugpl,4,19,2.035572492843588e-14,0.0,1
flugpl,4,20,2.035572492843588e-14,0.0,1
gr4x6,4,0,2.808335574662979e-12,-11.044642857106194,1
gr4x6,4,1,2.808335574662979e-12,0.0,1
gr4x6,4,2,0.01711309524085852,0.017113095238050182,2
gr4x6,4,3,0.01711309524085852,0.0,3
gr4x6,4,4,0.017113095240856826,-1.6930901125533637e-15,3
gr4x6,4,5,0.01711309524085852,1.6930901125533637e-15,3
gr4x6,4,6,0.24373759920847496,0.22662450396761644,5
gr4x6,4,7,2.808335574662979e-12,-0.24373759920566662,1
gr4x6,4,8,0.017113095240856826,0.01711309523804849,2
gr4x6,4,9,0.24652777777989568,0.22941468253903885,6
gr4x6,4,10,2.808335574662979e-12,-0.24652777777708734,1
gr4x6,4,11,0.04198908730428003,0.041989087301471696,2
gr4x6,4,12,0.04198908730428003,0.0,3
gr4x6,4,13,2.808335574662979e-12,-0.041989087301471696,1
gr4x6,4,14,0.04198908730428003,0.041989087301471696,2
gr4x6,4,15,2.808335574662979e-12,-0.041989087301471696,1
gr4x6,4,16,0.24824185442294283,0.2482418544201345,6
gr4x6,4,17,0.2425277107665432,-0.005714143656399634,4
gr4x6,4,18,0.10923130005798655,-0.13329641070855663,5
gr4x6,4,19,0.017113095240855136,-0.09211820481713141,2
gr4x6,4,20,0.10930896782733494,0.09219587258647981,5
b-ball,4,0,9.428711779500546e-12,-5.714285714231833,1
b-ball,4,1,9.428711779500546e-12,0.0,1
b-ball,4,2,9.42801392502793e-12,-6.978544726162186e-16,2
b-ball,4,3,9.428711779500546e-12,6.978544726162186e-16,1
b-ball,4,4,9.428711779500546e-12,0.0,2
b-ball,4,5,9.428711779500546e-12,0.0,1
b-ball,4,6,9.428711779500546e-12,0.0,2
b-ball,4,7,9.428711779500546e-12,0.0,1
b-ball,4,8,9.428711779500546e-12,0.0,2
b-ball,4,9,9.428711779500546e-12,0.0,1
b-ball,4,10,9.428711779500546e-12,0.0,2
b-ball,4,11,9.428711779500546e-12,0.0,1
b-ball,4,12,9.428711779500546e-12,0.0,2
b-ball,4,13,9.428711779500546e-12,0.0,1
b-ball,4,14,9.428711779500546e-12,0.0,2
b-ball,4,15,9.428711779500546e-12,0.0,1
b-ball,4,16,9.428711779500546e-12,0.0,2
b-ball,4,17,9.428711779500546e-12,0.0,1
b-ball,4,18,9.428711779500546e-12,0.0,2
b-ball,4,19,9.428711779500546e-12,0.0,1
b-ball,4,20,9.428711779500546e-12,0.0,2
dcmulti,4,0,3.7361741940443174e-13,-43.73642594335521,1
dcmulti,4,1,3.7361741940443174e-13,0.0,1
dcmulti,4,2,3.7361741940443174e-13,0.0,1
dcmulti,4,3,3.7361741940443174e-13,0.0,1
dcmulti,4,4,3.7361741940443174e-13,0.0,1
dcmulti,4,5,3.7361741940443174e-13,0.0,1
dcmulti,4,6,3.7361741940443174e-13,0.0,1
dcmulti,4,7,3.7361741940443174e-13,0.0,1
dcmulti,4,8,3.7361741940443174e-13,0.0,1
dcmulti,4,9,3.7361741940443174e-13,0.0,1
dcmulti,4,10,3.7361741940443174e-13,0.0,1
dcmulti,4,11,3.7361741940443174e-13,0.0,1
dcmulti,4,12,3.7361741940443174e-13,0.0,1
dcmulti,4,13,3.7361741940443174e-13,0.0,1
dcmulti,4,14,3.7361741940443174e-13,0.0,1
dcmulti,4,15,3.7361741940443174e-13,0.0,1
dcmulti,4,16,3.7361741940443174e-13,0.0,1
dcmulti,4,17,3.7361741940443174e-13,0.0,1
dcmulti,4,18,3.7361741940443174e-13,0.0,1
dcmulti,4,19,3.7361741940443174e-13,0.0,1
dcmulti,4,20,3.7361741940443174e-13,0.0,1
enlight_hard,4,0,0.4189189189189189,0.4189189189189189,1
enlight_hard,4,1,0.4189189189189189,0.0,1
enlight_hard,4,2,0.4189189189189189,0.0,2
enlight_hard,4,3,0.4189189189189189,0.0,1
enlight_hard,4,4,0.4189189189189189,0.0,2
enlight_hard,4,5,0.4189189189189189,0.0,1
enlight_hard,4,6,0.4189189189189189,0.0,2
enlight_hard,4,7,0.4189189189189189,0.0,1
enlight_hard,4,8,0.4189189189189189,0.0,2
enlight_hard,4,9,0.4189189189189189,0.0,1
enlight_hard,4,10,0.4189189189189189,0.0,2
enlight_hard,4,11,0.4189189189189189,0.0,1
enlight_hard,4,12,0.4189189189189189,0.0,2
enlight_hard,4,13,0.4189189189189189,0.0,1
enlight_hard,4,14,0.4189189189189189,0.0,2
enlight_hard,4,15,0.4189189189189189,0.0,1
enlight_hard,4,16,0.4189189189189189,0.0,2
enlight_hard,4,17,0.4189189189189189,0.0,1
enlight_hard,4,18,0.4189189189189189,0.0,2
enlight_hard,4,19,0.4189189189189189,0.0,1
enlight_hard,4,20,0.4189189189189189,0.0,2
markshare_5_0,4,0,0.0,0.0,1
markshare_5_0,4,1,0.0,0.0,1
markshare_5_0,4,2,0.0,0.0,4
markshare_5_0,4,3,0.0,0.0,1
markshare_5_0,4,4,0.0,0.0,4
markshare_5_0,4,5,0.0,0.0,3
markshare_5_0,4,6,0.0,0.0,10
markshare_5_0,4,7,0.0,0.0,5
markshare_5_0,4,8,0.0,0.0,10
markshare_5_0,4,9,0.0,0.0,10
markshare_5_0,4,10,0.0,0.0,7
markshare_5_0,4,11,0.0,0.0,2
markshare_5_0,4,12,0.0,0.0,10
markshare_5_0,4,13,0.0,0.0,10
markshare_5_0,4,14,0.0,0.0,10
markshare_5_0,4,15,0.0,0.0,10
markshare_5_0,4,16,0.0,0.0,10
markshare_5_0,4,17,0.0,0.0,10
markshare_5_0,4,18,0.0,0.0,10
markshare_5_0,4,19,0.0,0.0,10
markshare_5_0,4,20,0.0,0.0,10
gen-ip036,4,0,0.0,-180.81817438850504,1
gen-ip036,4,1,0.0424167746775584,0.0424167746775584,10
gen-ip036,4,2,0.04541091765174299,0.0029941429741845854,10
gen-ip036,4,3,0.05552955458981667,0.010118636938073682,11
gen-ip036,4,4,0.062447452913043676,0.006917898323227006,10
gen-ip036,4,5,0.058510356937729636,-0.003937095975314039,10
gen-ip036,4,6,0.06407403315251459,0.00556367621478495,10
gen-ip036,4,7,0.061411677822575055,-0.0026623553299395322,10
gen-ip036,4,8,0.061411677822575055,0.0,10
gen-ip036,4,9,0.061411677822575055,0.0,10
gen-ip036,4,10,0.061411677822575055,0.0,10
gen-ip036,4,11,0.061411677822575055,0.0,10
gen-ip036,4,12,0.061411677822575055,0.0,10
gen-ip036,4,13,0.061411677822575055,0.0,10
gen-ip036,4,14,0.061411677822575055,0.0,10
gen-ip036,4,15,0.061411677822575055,0.0,10
gen-ip036,4,16,0.061411677822575055,0.0,10
gen-ip036,4,17,0.061411677822575055,0.0,10
gen-ip036,4,18,0.061411677822575055,0.0,10
gen-ip036,4,19,0.061411677822575055,0.0,10
gen-ip036,4,20,0.061411677822575055,0.0,10
enlight8,4,0,0.037037037037037035,0.037037037037037035,1
enlight8,4,1,0.037037037037037035,0.0,2
enlight8,4,2,0.04861111111111111,0.011574074074074077,4
enlight8,4,3,0.04207291320515614,-0.006538197905954973,3
enlight8,4,4,0.05555555555555555,0.013482642350399414,5
enlight8,4,5,0.05202821869488536,-0.003527336860670194,5
enlight8,4,6,0.06419699874272589,0.012168780047840527,13
enlight8,4,7,0.06099966530652937,-0.003197333436196513,7
enlight8,4,8,0.05386314547377275,-0.0071365198327566215,4
enlight8,4,9,0.058195754607049385,0.004332609133276634,6
enlight8,4,10,0.07702601703190892,0.018830262424859537,12
enlight8,4,11,0.053391053391053385,-0.023634963640855537,3
