instance,cuts,disjunctive terms,cut generation iteration,root gap closed
mas76,default,4,1,6.54813060861287e-15
mas76,default,4,2,0.06441335721841536
mas76,default,4,3,0.06770227700884898
mas76,default,4,4,0.07109919187088659
mas76,default,4,5,0.07214423402404252
mas76,default,4,6,0.07468776664499602
mas76,default,4,7,0.07510863504825167
mas76,default,4,8,0.07533269285099838
mas76,default,4,9,0.07546912026412343
mas76,default,4,10,0.07562107150316309
mas76,default,4,11,0.07571742617071704
mas76,default,4,12,0.07577605889700821
mas76,default,4,13,0.07587306265300496
mas76,default,4,14,0.07598848213959714
mas76,default,4,15,0.07647890259256682
mas76,default,4,16,0.07688318177642652
mas76,default,4,17,0.07724663044774092
mas76,default,4,18,0.07742712970532442
mas76,default,4,19,0.07787877613369931
mas76,default,4,20,0.07851385021293855
mas76,default,4,21,0.07851385021293855
mas76,default,4,22,0.07851385021293855
mas76,default,4,23,0.07851385021293855
mas76,default,4,24,0.07851385021293855
mas76,default,4,25,0.07851385021293855
mas76,default,4,26,0.07851385021293855
mas76,default,4,27,0.07851385021293855
mas76,default,4,28,0.07851385021293855
mas76,default,4,29,0.07851385021293855
mas76,default,4,30,0.07851385021293855
mas76,default,4,31,0.07851385021293855
mas76,default,4,32,0.07851385021293855
mas76,default,4,33,0.07851385021293855
mas76,default,4,34,0.07851385021293855
mas76,default,4,35,0.07851385021293855
mas76,default,4,36,0.07851385021293855
mas76,default,4,37,0.07851385021293855
mas76,default,4,38,0.07851385021293855
mas76,default,4,39,0.07851385021293855
mas76,default,4,40,0.07851385021293855
mas76,default,4,41,0.07851385021293855
mas76,default,4,42,0.07851385021293855
mas76,default,4,43,0.07851385021293855
mas76,default,4,44,0.07851385021293855
mas76,default,4,45,0.07851385021293855
mas76,default,4,46,0.07851385021293855
mas76,default,4,47,0.07851385021293855
mas76,default,4,48,0.07851385021293855
mas76,default,4,49,0.07851385021293855
mas76,default,4,50,0.07851385021293855
mas76,disjunctive only,4,1,6.54813060861287e-15
mas76,disjunctive only,4,2,0.23510179234278522
mas76,disjunctive only,4,3,1.3115688638296426
mas76,disjunctive only,4,4,1.3258594043306724
mas76,disjunctive only,4,5,1.3400615607502635
mas76,disjunctive only,4,6,1.4520036477535319
mas76,disjunctive only,4,7,1.6255546194865873
mas76,disjunctive only,4,8,1.6276749004001247
mas76,disjunctive only,4,9,1.6284033303448235
mas76,disjunctive only,4,10,1.6441704731724522
mas76,disjunctive only,4,11,1.6497419194777048
mas76,disjunctive only,4,12,1.6652884706169793
mas76,disjunctive only,4,13,1.6794550254869296
mas76,disjunctive only,4,14,1.67997048560779
mas76,disjunctive only,4,15,1.7096729530923096
mas76,disjunctive only,4,16,2.8914743039568678
mas76,disjunctive only,4,17,2.8914743039568678
mas76,disjunctive only,4,18,2.8914743039568678
mas76,disjunctive only,4,19,2.8914743039568678
mas76,disjunctive only,4,20,2.8914743039568678
mas76,disjunctive only,4,21,2.8914743039568678
mas76,disjunctive only,4,22,2.8914743039568678
mas76,disjunctive only,4,23,2.8914743039568678
mas76,disjunctive only,4,24,2.8914743039568678
mas76,disjunctive only,4,25,2.8914743039568678
mas76,disjunctive only,4,26,2.8914743039568678
