instance,cuts,disjunctive terms,cut generation iteration,root gap closed
flugpl,default,8,1,2.035572492843588e-14
flugpl,default,8,2,0.11738529807351955
flugpl,default,8,3,0.41393437530575405
flugpl,default,8,4,0.47226946090976424
flugpl,default,8,5,0.4994661749790359
flugpl,default,8,6,0.5244185968980069
flugpl,default,8,7,0.5261447231312777
flugpl,default,8,8,0.5379007306739088
flugpl,default,8,9,0.5396123456588592
flugpl,default,8,10,0.5413119118261497
flugpl,default,8,11,0.542609732395657
flugpl,default,8,12,0.5430187883551795
flugpl,default,8,13,0.5433398793574983
flugpl,default,8,14,0.5435916058413647
flugpl,default,8,15,0.5437159587247414
flugpl,default,8,16,0.5437308987262862
flugpl,default,8,17,0.5438182681527034
flugpl,default,8,18,0.543825888662661
flugpl,default,8,19,0.5438382922376153
flugpl,default,8,20,0.5440657032330868
flugpl,default,8,21,0.5443465710620206
flugpl,default,8,22,0.5447049106936788
flugpl,default,8,23,0.5447351024171612
flugpl,default,8,24,0.5447825217328457
flugpl,default,8,25,0.5448043681155715
flugpl,default,8,26,0.5448730993010482
flugpl,default,8,27,0.5451085289922697
flugpl,default,8,28,0.5451240642067735
flugpl,default,8,29,0.5451388074352861
flugpl,default,8,30,0.5451817081362141
flugpl,default,8,31,0.5452072833953573
flugpl,default,8,32,0.5452607376174785
flugpl,default,8,33,0.5452967883297692
flugpl,default,8,34,0.5453278860394855
flugpl,default,8,35,0.5453839641772117
flugpl,default,8,36,0.5454080827063262
flugpl,default,8,37,0.5454369376923818
flugpl,default,8,38,0.5454507894090806
flugpl,default,8,39,0.545457925972548
flugpl,default,8,40,0.5454757002705729
flugpl,default,8,41,0.5455010195990049
flugpl,default,8,42,0.5455144292166485
flugpl,default,8,43,0.54560797510892
flugpl,default,8,44,0.5457928109558428
flugpl,default,8,45,0.5460056936185629
flugpl,default,8,46,0.546162009004362
flugpl,default,8,47,0.5462865599510253
flugpl,default,8,48,0.5463434479500139
flugpl,default,8,49,0.5463683290063756
flugpl,default,8,50,0.5464678508527672
flugpl,default,8,51,0.5464940549861205
flugpl,default,8,52,0.5465136800876619
flugpl,default,8,53,0.5466142912763319
flugpl,default,8,54,0.5469891215337984
flugpl,default,8,55,0.5470727787483178
flugpl,default,8,56,0.5471224122723323
flugpl,default,8,57,0.5471665672372082
flugpl,default,8,58,0.5471840628511505
flugpl,default,8,59,0.5471888079843732
flugpl,default,8,60,0.5471980179381492
flugpl,default,8,61,0.5474092898034139
flugpl,default,8,62,0.5474538266394164
flugpl,default,8,63,0.5474744199956256
flugpl,default,8,64,0.5474807140883935
flugpl,default,8,65,0.5474873105592263
flugpl,default,8,66,0.5475467819294838
flugpl,default,8,67,0.5476602807754456
flugpl,default,8,68,0.5477785461289486
flugpl,default,8,69,0.5478353040688054
flugpl,default,8,70,0.5478432550913847
flugpl,default,8,71,0.5478455640965155
flugpl,default,8,72,0.5478459478982537
flugpl,default,8,73,0.5478473187425595
flugpl,default,8,74,0.5478478470319338
flugpl,default,8,75,0.5478521108192526
flugpl,default,8,76,0.5478663161028293
flugpl,default,8,77,0.5478679765080822
flugpl,default,8,78,0.5478709703704369
flugpl,default,8,79,0.5478992631396614
flugpl,default,8,80,0.5479040531016525
flugpl,default,8,81,0.5479106628297211
flugpl,default,8,82,0.5479429553883355
flugpl,default,8,83,0.5479652910582151
flugpl,default,8,84,0.5480267869639218
flugpl,default,8,85,0.5480304046063038
flugpl,default,8,86,0.5480436392703254
flugpl,default,8,87,0.5480598930004003
flugpl,default,8,88,0.5480648287437763
flugpl,default,8,89,0.5480654582538858
flugpl,default,8,90,0.5480717735092592
flugpl,default,8,91,0.5480748110617645
flugpl,default,8,92,0.5480920691246547
flugpl,default,8,93,0.5480961350760264
flugpl,default,8,94,0.5481067522871753
flugpl,default,8,95,0.5481081513423989
flugpl,default,8,96,0.5481085063461263
flugpl,default,8,97,0.5481092307695598
flugpl,default,8,98,0.5481094669593566
flugpl,default,8,99,0.5481095174494254
flugpl,default,8,100,0.5481123005216667
flugpl,disjunctive only,8,1,2.035572492843588e-14
flugpl,disjunctive only,8,2,0.020091958320927868
flugpl,disjunctive only,8,3,0.08673684935532201
flugpl,disjunctive only,8,4,0.1006446017713427
flugpl,disjunctive only,8,5,0.10220115545637698
flugpl,disjunctive only,8,6,0.11052462559225976
flugpl,disjunctive only,8,7,0.1162383367601237
flugpl,disjunctive only,8,8,0.1212743141077845
flugpl,disjunctive only,8,9,0.12380226329784819
flugpl,disjunctive only,8,10,0.12681220092113166
flugpl,disjunctive only,8,11,0.12814132487147867
flugpl,disjunctive only,8,12,0.12949512024345813
flugpl,disjunctive only,8,13,0.13010714668059445
flugpl,disjunctive only,8,14,0.1306873331414854
flugpl,disjunctive only,8,15,0.13084461093481084
flugpl,disjunctive only,8,16,0.1308962020179412
flugpl,disjunctive only,8,17,0.13092469637942264
flugpl,disjunctive only,8,18,0.13093510072163655
flugpl,disjunctive only,8,19,0.13095219293362526
flugpl,disjunctive only,8,20,0.13095511437151167
flugpl,disjunctive only,8,21,0.13095511437151167
flugpl,disjunctive only,8,22,0.13095511437151167
flugpl,disjunctive only,8,23,0.13095511437151167
flugpl,disjunctive only,8,24,0.13095511437151167
flugpl,disjunctive only,8,25,0.13095511437151167
flugpl,disjunctive only,8,26,0.13095511437151167
flugpl,disjunctive only,8,27,0.13095511437151167
flugpl,disjunctive only,8,28,0.13095511437151167
flugpl,disjunctive only,8,29,0.13095511437151167
flugpl,disjunctive only,8,30,0.13095511437151167
flugpl,disjunctive only,8,31,0.13095511437151167
flugpl,disjunctive only,8,32,0.13095511437151167
flugpl,disjunctive only,8,33,0.13095511437151167
flugpl,disjunctive only,8,34,0.13095511437151167
flugpl,disjunctive only,8,35,0.13095511437151167
flugpl,disjunctive only,8,36,0.13095511437151167
flugpl,disjunctive only,8,37,0.13095511437151167
flugpl,disjunctive only,8,38,0.13095511437151167
flugpl,disjunctive only,8,39,0.13095511437151167
flugpl,disjunctive only,8,40,0.13095511437151167
flugpl,disjunctive only,8,41,0.13095511437151167
flugpl,disjunctive only,8,42,0.13095511437151167
flugpl,disjunctive only,8,43,0.13095511437151167
flugpl,disjunctive only,8,44,0.13095511437151167
flugpl,disjunctive only,8,45,0.13095511437151167
flugpl,disjunctive only,8,46,0.13095511437151167
flugpl,disjunctive only,8,47,0.13095511437151167
flugpl,disjunctive only,8,48,0.13095511437151167
flugpl,disjunctive only,8,49,0.13095511437151167
flugpl,disjunctive only,8,50,0.13095511437151167
flugpl,disjunctive only,8,51,0.13095511437151167
flugpl,disjunctive only,8,52,0.13095511437151167
flugpl,disjunctive only,8,53,0.13095511437151167
flugpl,disjunctive only,8,54,0.13095511437151167
flugpl,disjunctive only,8,55,0.13095511437151167
flugpl,disjunctive only,8,56,0.13095511437151167
flugpl,disjunctive only,8,57,0.13095511437151167
flugpl,disjunctive only,8,58,0.13095511437151167
flugpl,disjunctive only,8,59,0.13095511437151167
flugpl,disjunctive only,8,60,0.13095511437151167
flugpl,disjunctive only,8,61,0.13095511437151167
flugpl,disjunctive only,8,62,0.13095511437151167
flugpl,disjunctive only,8,63,0.13095511437151167
flugpl,disjunctive only,8,64,0.13095511437151167
flugpl,disjunctive only,8,65,0.13095511437151167
flugpl,disjunctive only,8,66,0.13095511437151167
flugpl,disjunctive only,8,67,0.13095511437151167
flugpl,disjunctive only,8,68,0.13095511437151167
flugpl,disjunctive only,8,69,0.13095511437151167
flugpl,disjunctive only,8,70,0.13095511437151167
flugpl,disjunctive only,8,71,0.13095511437151167
flugpl,disjunctive only,8,72,0.13095511437151167
flugpl,disjunctive only,8,73,0.13095511437151167
flugpl,disjunctive only,8,74,0.13095511437151167
flugpl,disjunctive only,8,75,0.13095511437151167
flugpl,disjunctive only,8,76,0.13095511437151167
flugpl,disjunctive only,8,77,0.13095511437151167
flugpl,disjunctive only,8,78,0.13095511437151167
flugpl,disjunctive only,8,79,0.13095511437151167
flugpl,disjunctive only,8,80,0.13095511437151167
flugpl,disjunctive only,8,81,0.13095511437151167
flugpl,disjunctive only,8,82,0.13095511437151167
flugpl,disjunctive only,8,83,0.13095511437151167
flugpl,disjunctive only,8,84,0.13095511437151167
flugpl,disjunctive only,8,85,0.13095511437151167
flugpl,disjunctive only,8,86,0.13095511437151167
flugpl,disjunctive only,8,87,0.13095511437151167
flugpl,disjunctive only,8,88,0.13095511437151167
flugpl,disjunctive only,8,89,0.13095511437151167
flugpl,disjunctive only,8,90,0.13095511437151167
flugpl,disjunctive only,8,91,0.13095511437151167
flugpl,disjunctive only,8,92,0.13095511437151167
flugpl,disjunctive only,8,93,0.13095511437151167
flugpl,disjunctive only,8,94,0.13095511437151167
flugpl,disjunctive only,8,95,0.13095511437151167
flugpl,disjunctive only,8,96,0.13095511437151167
